prefixed_root,unprefixed_root,hom
samprakram,kram,
samprakliS,kliS,
samprakzip,kzip,
samprakzuB,kzuB,
sampragAh,gAh,
sampragF,gF,1
sampragE,gE,
sampragrah,grah,
sampraGfz,Gfz,
sampracakz,cakz,
sampracar,car,
sampraci,ci,1
sampracCid,Cid,
sampraC,praC,
samprajan,jan,
samprajYA,jYA,
samprajval,jval,
sampraRad,nad,
sampraRam,nam,
sampraRaS,naS,
sampraRiDA,DA,
sampraRI,nI,
sampraRud,nud,
sampratark,tark,
sampratigrah,grah,
sampratijYA,jYA,
sampratinand,nand,
sampratipad,pad,
sampratiBA,BA,
sampratiBAz,BAz,
sampratiziD,siD,
sampratizWA,sTA,
sampratI,i,
sampratIkz,Ikz,
sampratIz,iz,
sampratuz,tuz,
sampratF,tF,
sampradah,dah,
sampradA,dA,1
sampradiS,diS,
sampraduz,duz,
sampradru,dru,
samprapad,pad,
samprabAD,bAD,
samprabuD,buD,
sampraBA,BA,
sampraBAz,BAz,
sampramaT,maT,
sampramuc,muc,
sampramuh,muh,
sampramokz,mokz,
samprayat,yat,
samprayam,yam,
samprayA,yA,
samprayAc,yAc,
samprayuj,yuj,
samprayuD,yuD,
sampraruc,ruc,
sampralI,lI,
sampravac,vac,
sampravad,vad,
sampravip,vip,
sampraviS,viS,
sampravft,vft,
sampravfD,vfD,
samprave,ve,
sampraSAs,SAs,
samprasad,sad,
samprasah,sah,
samprasU,sU,2
samprasfp,sfp,
samprasTA,sTA,
sampraspfS,spfS,
samprasru,sru,
samprahas,has,
samprahA,hA,3
samprahf,hf,
samprahfz,hfz,
samprAp,Ap,
samprArT,arT,
samprAS,aS,
samprI,prI,
sampre,i,
samprekz,Ikz,
samprer,Ir,
samprez,iz,
samprokz,ukz,
samprorRu,UrRu,
samplu,plu,
sambanD,banD,
sambAD,bAD,
sambuD,buD,
sambfh,bfh,1
sambfh,bfh,2
sambrU,brU,
samBakz,Bakz,
samBaj,Baj,
samBaYj,BaYj,
samBal,Bal,
samBA,BA,
samBAz,BAz,
samBid,Bid,
samBuj,Buj,3
samBU,BU,
samBUz,BUz,
samBf,Bf,
samBraMS,BraMS,
samBram,Bram,
samBraS,BraS,
samBrAj,BrAj,
sammad,mad,
samman,man,
sammantr,mantr,
sammand,mand,
sammA,mA,3
sammi,mi,1
sammil,mil,
sammIl,mIl,
sammuKIkf,kf,
sammuKIBU,BU,
sammuc,muc,
sammurC,murC,
sammuz,muz,
sammuh,muh,
sammfj,mfj,
sammfR,mfR,
sammfd,mfd,
sammfS,mfS,
sammokz,mokz,
saralIkf,kf,
sarasIkf,kf,
sarpIBU,BU,
saviDIkf,kf,
saviDIBU,BU,
sahAyIBU,BU,
sahArTIBU,BU,
sAkzAtkf,kf,
sAkzAdBU,BU,
sAkzimAtrAkf,kf,
sAkzIkf,kf,
sAkzIBU,BU,
sAcIkf,kf,
sAtmIBU,BU,
sADanIkf,kf,
sADAraRIkf,kf,
sAndrIBU,BU,
sArasvatOzaDIBU,BU,
sArTIkf,kf,
sAvaDAnIkf,kf,
sAvaDAnIBU,BU,
sAvayavIkf,kf,
siMhIkf,kf,
siMhIBU,BU,
sitIkf,kf,
suKAkf,kf,
suguptIkf,kf,
suDIkf,kf,
suPalIkf,kf,
sumanIkf,kf,
sumanIBU,BU,
suraBIkf,kf,
suvarRIBU,BU,
susajjIkf,kf,
sUkzmIkf,kf,
sUtrIkf,kf,
sfkkf,kf,
somIkf,kf,
skanDIkf,kf,
stamBIBU,BU,
starIkf,kf,
sTapuwIkf,kf,
sTalapaTIkf,kf,
sTalIBU,BU,
sTAyIBU,BU,
sTirIkf,kf,
sTirIBU,BU,
spazwIkf,kf,
sPArIBU,BU,
sPItIkf,kf,
sPuwIkf,kf,
sPuwIBU,BU,
smarezuDIkf,kf,
svagAkf,kf,
svapatIkf,kf,
svarasIkf,kf,
svalpIBU,BU,
svasTIkf,kf,
svasTIBU,BU,
svAgatIkf,kf,
svAdUkf,kf,
svAyattIkf,kf,
svASliz,Sliz,
svIkf,kf,
hastIkf,kf,
hastekf,kf,
himIkf,kf,
huMkf,kf,
hetUkf,kf,
