prefixed_root,unprefixed_root,hom
upagAh,gAh,
upaguh,guh,
upagF,gF,1
upagF,gF,2
upagE,gE,
upagranT,granT,
upagras,gras,
upagrah,grah,
upaGrA,GrA,
upacar,car,
upaci,ci,1
upacft,cft,
upacCad,Cad,
upacCand,Cand,
upacCal,Cal,
upajan,jan,
upajap,jap,
upaji,ji,
upajIv,jIv,
upajuz,juz,
upajYA,jYA,
upajri,jri,
upaQOk,QOk,
upatap,tap,
upatfd,tfd,
upadamB,damB,
upadas,das,
upadah,dah,
upadA,dA,1
upadiS,diS,
upaduz,duz,
upadfS,dfS,
upadru,dru,
upaDA,DA,
upaDAv,DAv,
upaDf,Df,
upaDfz,Dfz,
upaDe,De,
upaDmA,DmA,
upanakz,nakz,
upanam,nam,
upanah,nah,
upanAT,nAT,
upaniHSri,Sri,
upanikzip,kzip,
upanigam,gam,
upanigrah,grah,
upaniDA,DA,
upanipat,pat,
upanipad,pad,
upaniplu,plu,
upanibanD,banD,
upanimajj,majj,
upanimantr,mantr,
upanimand,mand,
upanimreq,mreq,
upaniyuj,yuj,
upaniruD,ruD,
upanirvft,vft,
upanivap,vap,2
upaniviS,viS,
upanivf,vf,
upanivft,vft,
upanivezw,vezw,
upaniSri,Sri,
upanizad,sad,
upanizev,sev,
upanizkram,kram,
upanihan,han,
upanI,nI,
upanI,i,
upanft,nft,
upanyas,as,2
upanyAcar,car,
upanyAplu,plu,
upapat,pat,
upapad,pad,
upaparIkz,Ikz,
upapare,i,
upaparyAvft,vft,
upapfc,pfc,
upapF,pF,
upapragA,gA,
upapraC,praC,
upaprajan,jan,
upaprajinv,jinv,
upapratigrah,grah,
upapradA,dA,1
upapraBid,Bid,
upapraBU,BU,
upapraBUz,BUz,
upaprayam,yam,
upaprayA,yA,
upapravad,vad,
upapravft,vft,
upapravfh,vfh,
upapraSri,Sri,
upaprasad,sad,
upaprasf,sf,
upaprastf,stf,
upaprahi,hi,
upaprAp,Ap,
upaprAyA,yA,
upapre,i,
upaprekz,Ikz,
upaprez,iz,
upaplu,plu,
upaple,i,
upabanD,banD,
upabfh,bfh,
upabrU,brU,
upaBaj,Baj,
upaBuj,Buj,2
upaBU,BU,
upaBUz,BUz,
upaBf,Bf,
upaBram,Bram,
upamajj,majj,
upamaT,maT,
upamad,mad,1
upamantr,mantr,
upamA,mA,
upami,mi,1
upamuc,muc,
upamfj,mfj,
upamfd,mfd,
upamluc,mluc,
upayaj,yaj,
upayat,yat,
upayantr,yantr,
upayam,yam,
upayA,yA,
upayuj,yuj,
uparac,rac,
uparaYj,raYj,
uparaD,raD,
uparam,ram,
uparamB,ramB,
uparuc,ruc,
uparuD,ruD,2
uparuh,ruh,
upalakz,lakz,
upalaB,laB,
upalip,lip,
upalI,lI,
upavac,vac,
upavad,vad,
upavaD,vaD,
upavap,vap,2
upavarR,varR,
upavalh,valh,
upavas,vas,5
upavah,vah,
upavA,vA,
upaviD,viD,1
upaviS,viS,
upaviz,viz,
upavizWA,sTA,
upavI,vI,
upavIkz,Ikz,
upavIj,vIj,
upavft,vft,
upave,ve,
upavE,vE,
upavyaD,vyaD,
upavye,vye,
upavraj,vraj,
upaSak,Sak,
upaSaNk,SaNk,
upaSam,Sam,
upaSiNG,SiNG,
upaSI,SI,
upaSuB,SuB,
upaSuz,Suz,
upaScyut,Scyut,
upaSram,Sram,
upaSri,Sri,
upaSru,Sru,
upaSliz,Sliz,
upasaMkxp,kxp,
upasaMkram,kram,
upasaMgam,gam,
upasaMgrah,grah,
upasaMcar,car,
upasaMjan,jan,
upasaMtan,tan,
upasaMDA,DA,
upasaMnud,nud,
upasaMpad,pad,
upasaMparARI,nI,
upasaMpraC,praC,
upasaMprayA,yA,
upasaMprAp,Ap,
upasaMBid,Bid,
upasaMyA,yA,
upasaMruD,ruD,2
upasaMruh,ruh,
upasaMviS,viS,
upasaMvye,vye,
upasaMvraj,vraj,
upasaMSaMs,SaMs,
upasaMSri,Sri,
upasaMhf,hf,
upasac,sac,
upasaYj,saYj,
upasad,sad,
upasamAkf,kf,1
upasamADA,DA,
upasamAvft,vft,
upasamAhf,hf,
upasami,i,
upasaminD,inD,
upasamUh,Uh,1
upasame,i,
upasAD,sAD,
upasic,sic,
upasiD,siD,2
upasf,sf,
upasfj,sfj,
upasfp,sfp,
upasev,sev,
upaskamB,skamB,
upastamB,stamB,
upastu,stu,
upastf,stf,
upasTA,sTA,
upasnih,snih,
upaspfS,spfS,
upasmi,smi,
upasmf,smf,
upasru,sru,
upasvf,svf,
upahan,han,
upahas,has,
upahA,hA,2
upahArIkf,kf,
upahiMs,hiMs,
upahu,hu,
upahf,hf,
upahvf,hvf,
upahve,hve,
upAkf,kf,1
upAkram,kram,
upAKyA,KyA,
upAgam,gam,
upAgA,gA,
upAGrA,GrA,
upAcar,car,
upAj,aj,
upAYc,aYc,
upAYj,aYj,
upAtI,i,
upAdA,dA,1
upAdiS,diS,
upAdru,dru,
upADA,DA,
upADAv,DAv,
upADiruh,ruh,
upADmA,DmA,
upAnI,nI,
upAnvAruh,ruh,
upAp,Ap,
upApat,pat,
upApraC,praC,
upABUz,BUz,
upAyA,yA,
upAyuj,yuj,
upAram,ram,
upArud,rud,
upAruh,ruh,
upArj,arj,
upArz,fz,
upAlaB,laB,
upAv,av,
upAvaram,ram,
upAvaruh,ruh,
upAvaSri,Sri,
upAvasfj,sfj,
upAvasfp,sfp,
upAvaso,so,
upAvah,vah,
upAvahf,hf,
upAviS,viS,
upAvft,vft,
upAve,i,
upAvekz,Ikz,
upAvraj,vraj,
upAS,aS,
upAS,aS,
upASri,Sri,
upAs,as,
upAs,as,
upAs,As,
upAsad,sad,
upAsfj,sfj,
upAstf,stf,
upAsTA,sTA,
upAhan,han,
upAhf,hf,
upAhve,hve,
upe,i,
upe,i,
upekz,Ikz,
upen,in,
upez,iz,
upez,Iz,
upez,Iz,
upED,eD,
upokz,ukz,
upotkram,kram,
upotTA,sTA,
upotsad,sad,
upotsic,sic,
upod,ud,
upodAsfp,sfp,
upodAhf,hf,
upodi,i,
upodgrah,grah,
upodDan,han,
upodyam,yam,
uponnI,nI,
upopaDA,DA,
upopaparAmfS,mfS,
upopaviS,viS,
upoz,uz,
upoh,Uh,
ullaNG,laNG,
ullap,lap,
ullamb,lamb,
ullal,lal,
ullas,las,
ulliK,liK,
ullih,lih,
ullI,lI,
ulluYc,luYc,
ulluW,luW,
ullup,lup,
ullU,lU,
UrDvIkf,kf,
e,i,
ekz,Ikz,
enD,inD,
er,Ir,
ez,Iz,
o,u,
okz,ukz,
opadru,dru,
grAsapAtrIkf,kf,
tiroDA,DA,
duri,i,
niHkzi,kzi,1
niHSI,SI,
niHSuc,Suc,
niHSF,SF,
niHSvas,Svas,
niHzic,sic,
niHziD,siD,
niHzu,su,
niHzU,sU,
niHzwan,stan,
niHzWA,sTA,
niHzWiv,zWiv,
niHzvap,svap,
niHsf,sf,
niHsfj,sfj,
niHsfp,sfp,
niHspf,spf,
niHsPur,sPur,
niHsru,sru,
niHsvf,svf,
nikam,kam,
nikUj,kUj,
nikUq,kUq,
nikUR,kUR,
nikf,kf,1
nikft,kft,1
nikfz,kfz,1
nikrand,krand,
nikram,kram,
nikzip,kzip,
niKan,Kan,
niKid,Kid,
nigad,gad,
nigam,gam,
nigarh,garh,
niguh,guh,
nigF,gF,2
nigE,gE,
nigranT,granT,
nigrah,grah,
niGfz,Gfz,2
nici,ci,2
nicft,cft,
nijUrv,jUrv,
nitan,tan,
nitap,tap,
nitud,tud,
nituS,tuS,1
nitfd,tfd,
nitfp,tfp,
nidah,dah,
nidA,dA,4
nidiS,diS,
nidrA,drA,1
niDA,DA,1
niDAv,DAv,2
niDU,DU,
niDyE,DyE,
ninad,nad,
ninard,nard,
ninI,nI,
ninft,nft,
nipat,pat,
nipad,pad,
nipA,pA,1
nipA,pA,2
nipIy,pIy,
nipF,pF,
niprahan,han,
nibanD,banD,
nibAD,bAD,
nibuD,buD,
nibfh,bfh,
niBaYj,BaYj,
niBal,Bal,
niBuj,Buj,1
nimajj,majj,
nimad,mad,
niman,man,
nimantr,mantr,
nimA,mA,
nimi,mi,1
nimiz,miz,
nimih,mih,
nimIl,mIl,
nimfj,mfj,
nimfd,mfd,
nime,me,
nimyakz,myakz,
nimruc,mruc,
nimluc,mluc,
niyat,yat,
niyantr,yantr,
niyam,yam,
niyA,yA,
niyu,yu,2
niyuj,yuj,
niyuD,yuD,
niraj,aj,
niraByavekz,Ikz,
niram,ram,
nirard,ard,
niravaday,day,
niravado,do,
niravaDe,De,
niravayaj,yaj,
niravekz,Ikz,
