root,hom,class,voice
daMs,2,10,para
daMs,2,1,para
daMs,2,10,atma
daMh,,10,para
dakz,,1,para
daG,,5,para
daG,,4,para
daNG,,1,para
dad,,1,para
daD,,1,atma
danv,,1,para
daB,,1,atma
daB,,5,atma
dam,1,4,para
dam,1,9,atma
damadamAya,,denom,atma
damB,,1,atma
damB,,5,atma
day,,1,atma
dal,,1,para
das,,1,atma
das,,4,atma
dah,1,1,para
dA,1,3,atma
dA,1,1,atma
dA,4,4,para
dAn,,1,para
dAn,,10,para
dAy,,1,atma
dAruRAya,,denom,atma
dAS,1,1,para
dAS,1,2,para
dAS,1,5,para
dAs,1,1,para
dAs,1,5,para
dAsAya,,denom,atma
dinv,,1,para
dip,,1,atma
dimp,,10,atma
dimB,,10,atma
div,1,1,para
div,1,10,para
div,2,4,para
diS,1,3,para
dih,1,2,para
dI,1,4,para
dI,2,3,para
dI,3,4,atma
dIkz,,1,atma
dIDI,1,2,atma
dIDI,2,2,atma
dIp,,4,atma
dIrGaya,,denom,para
du,1,1,para
du,2,5,para
du,2,4,atma
duHKaya,,denom,para
duHKAya,,denom,atma
duHKIya,,denom,para
ducCunAya,,denom,atma
duD,,1,para
dundumAya,,denom,atma
durv,,1,para
dul,,10,para
duz,2,4,para
duzwIya,,denom,para
duh,1,1,para
duh,2,2,para
duh,2,6,para
duh,2,4,atma
dU,1,1,para
dU,2,5,para
dU,2,4,atma
dUraya,,denom,para
dUzaya,,denom,para
df,,6,atma
dfMh,,1,para
dfMh,,4,para
dfMh,,1,atma
dfQaya,,denom,para
dfp,1,6,para
dfp,2,4,para
dfP,1,6,para
dfB,1,1,para
dfB,1,10,para
dfB,2,6,para
dfS,,1,para
dfh,,1,para
dfh,,4,para
dfh,,1,atma
dF,,9,para
dF,,2,para
de,,1,atma
devaya,,denom,para
devAya,,denom,para
dE,,1,para
dEtyAya,,denom,atma
do,,2,para
do,,4,para
dolAya,,denom,atma
dozAya,,denom,atma
dyu,1,2,para
dyut,2,1,atma
dyE,1,1,para
draQaya,,denom,para
dram,,1,para
dravaya,,denom,atma
draviRIya,,denom,para
drA,2,2,para
drA,,1,para
drA,,2,para
drAK,,1,para
drAG,,1,atma
drANkz,,1,para
drAq,,1,atma
drAh,,1,atma
dru,1,5,para
dru,2,1,para
druq,,1,para
druq,,6,para
druR,,6,para
drumAya,,denom,atma
drumm,,1,para
druh,1,4,para
drU,1,9,para
drU,1,5,para
drUq,,1,para
drek,,1,atma
drE,,1,para
drE,,2,para
dvijAya,,denom,atma
dviz,2,2,para
dvf,,1,para
Dakk,,10,para
DaR,,1,para
Dan,1,1,para
Dan,2,3,para
DanAya,,denom,atma
DanIya,,denom,para
Danv,,1,para
Dam,,1,para
DamaDamAya,,denom,atma
DarmAya,,denom,atma
Dav,,1,atma
Davalaya,,denom,para
DavalAya,,denom,atma
DA,1,3,para
DA,1,1,para
DA,1,2,para
DA,1,4,atma
DArAya,,denom,atma
DAv,1,1,para
DAv,2,1,para
Di,1,6,para
Di,3,5,para
Dikz,,1,atma
DiyAya,,denom,atma
Diz,1,3,para
DI,1,3,atma
DI,3,4,atma
DIkz,,1,atma
DIraya,,denom,para
Dukz,,1,atma
Dunaya,,denom,para
Durv,,1,para
DU,1,5,para
DU,1,6,para
DU,1,9,para
DU,1,1,para
DU,1,2,atma
DUnaya,,denom,para
DUpaya,,denom,para
DUpAya,,denom,para
DUmaya,,denom,para
DUmAya,,denom,atma
DUmraya,,denom,para
DUr,1,4,atma
DUrv,,1,para
DUlaya,,denom,para
DUS,,10,para
DUz,,10,para
DUs,,10,para
Df,,1,para
Dfj,,1,para
DfYj,,1,para
Dfz,,5,para
Dfz,,1,para
DF,,9,para
De,,1,para
Dor,,1,para
DmA,,1,para
DyE,,1,para
Draj,,1,para
DraYj,,1,para
DraR,,1,para
Dras,,9,para
Dras,,10,para
DrA,,2,para
DrA,,1,para
Drij,,1,para
Dru,1,6,para
Dru,1,1,para
Drek,,1,atma
DrE,,1,para
DvaMs,,1,para
Dvaj,1,1,para
DvaYj,1,1,para
DvaR,,1,para
Dvan,2,1,para
DvANkz,,1,para
Dvf,,1,para
DvraR,,1,para
naMS,,1,para
nakk,,10,para
nakz,,1,para
naK,,4,para
naK,,1,para
nagarAya,,denom,atma
naNK,,4,para
naNK,,1,para
naj,,6,atma
naw,,1,para
naq,1,10,para
nad,,1,para
nand,,1,para
naB,1,1,atma
naB,1,4,para
naB,1,9,para
nam,,1,para
namb,,1,para
nay,,1,atma
narakAya,,denom,atma
nard,,1,para
narb,,1,para
narmaya,,denom,para
nal,,1,para
nal,,10,para
naS,1,1,para
naS,2,4,para
naS,2,1,para
naSAya,,denom,para
nas,2,1,atma
nah,1,4,para
nAT,,1,atma
nAD,,1,atma
nAyakAya,,denom,atma
nArAyaRAya,,denom,atma
nArIya,,denom,atma
nAlAya,,denom,atma
nAs,1,1,atma
niMs,,2,atma
nikz,,1,para
nij,,2,atma
nij,,3,para
niYj,,2,atma
nind,,1,para
ninv,,1,para
nibiqaya,,denom,para
nimnaya,,denom,para
nil,,6,para
niS,2,1,para
niz,2,1,para
nizk,,10,atma
nI,2,1,para
nIqaya,,denom,atma
nIl,,1,para
