stem,stem_genders,form,form_gender,case,number
yatara,mfn,yatarasyAs,f,5,s
yatara,mfn,yatarAByAm,f,5,d
yatara,mfn,yatarAByas,f,5,p
yatara,mfn,yatarasyAs,f,6,s
yatara,mfn,yatarayos,f,6,d
yatara,mfn,yatarAsAm,f,6,p
yatara,mfn,yatarasyAm,f,7,s
yatara,mfn,yatarayos,f,7,d
yatara,mfn,yatarAsu,f,7,p
yatara,mfn,yatarA,f,8,s
yatara,mfn,yatare,f,8,d
yatara,mfn,yatarAs,f,8,p
yatara,mfn,yatarat,n,1,s
yatara,mfn,yatare,n,1,d
yatara,mfn,yatarARi,n,1,p
yatara,mfn,yatarat,n,2,s
yatara,mfn,yatare,n,2,d
yatara,mfn,yatarARi,n,2,p
yatara,mfn,yatareRa,n,3,s
yatara,mfn,yatarAByAm,n,3,d
yatara,mfn,yatarEs,n,3,p
yatara,mfn,yatarasmE,n,4,s
yatara,mfn,yatarAByAm,n,4,d
yatara,mfn,yatareByas,n,4,p
yatara,mfn,yatarasmAt,n,5,s
yatara,mfn,yatarAByAm,n,5,d
yatara,mfn,yatareByas,n,5,p
yatara,mfn,yatarasya,n,6,s
yatara,mfn,yatarayos,n,6,d
yatara,mfn,yatarezAm,n,6,p
yatara,mfn,yataram,n,7,s
yatara,mfn,yatare,n,7,d
yatara,mfn,yatarARi,n,7,p
yatara,mfn,yataram,n,8,s
yatara,mfn,yatare,n,8,d
yatara,mfn,yatarARi,n,8,p
tatara,mfn,tataras,m,1,s
tatara,mfn,tatarO,m,1,d
tatara,mfn,tatare,m,1,p
tatara,mfn,tataram,m,2,s
tatara,mfn,tatarO,m,2,d
tatara,mfn,tatarAn,m,2,p
tatara,mfn,tatareRa,m,3,s
tatara,mfn,tatarAByAm,m,3,d
tatara,mfn,tatarEs,m,3,p
tatara,mfn,tatarasmE,m,4,s
tatara,mfn,tatarAByAm,m,4,d
tatara,mfn,tatareByas,m,4,p
tatara,mfn,tatarasmAt,m,5,s
tatara,mfn,tatarAByAm,m,5,d
tatara,mfn,tatareByas,m,5,p
tatara,mfn,tatarasya,m,6,s
tatara,mfn,tatarayos,m,6,d
tatara,mfn,tatarezAm,m,6,p
tatara,mfn,tatarasmin,m,7,s
tatara,mfn,tatarayos,m,7,d
tatara,mfn,tatarezu,m,7,p
tatara,mfn,tataras,m,8,s
tatara,mfn,tatarO,m,8,d
tatara,mfn,tatare,m,8,p
tatara,mfn,tatarA,f,1,s
tatara,mfn,tatare,f,1,d
tatara,mfn,tatarAs,f,1,p
tatara,mfn,tatarAm,f,2,s
tatara,mfn,tatare,f,2,d
tatara,mfn,tatarAs,f,2,p
tatara,mfn,tatarayA,f,3,s
tatara,mfn,tatarAByAm,f,3,d
tatara,mfn,tatarABis,f,3,p
tatara,mfn,tatarasyE,f,4,s
tatara,mfn,tatarAByAm,f,4,d
tatara,mfn,tatarAByas,f,4,p
tatara,mfn,tatarasyAs,f,5,s
tatara,mfn,tatarAByAm,f,5,d
tatara,mfn,tatarAByas,f,5,p
tatara,mfn,tatarasyAs,f,6,s
tatara,mfn,tatarayos,f,6,d
tatara,mfn,tatarAsAm,f,6,p
tatara,mfn,tatarasyAm,f,7,s
tatara,mfn,tatarayos,f,7,d
tatara,mfn,tatarAsu,f,7,p
tatara,mfn,tatarA,f,8,s
tatara,mfn,tatare,f,8,d
tatara,mfn,tatarAs,f,8,p
tatara,mfn,tatarat,n,1,s
tatara,mfn,tatare,n,1,d
tatara,mfn,tatarARi,n,1,p
tatara,mfn,tatarat,n,2,s
tatara,mfn,tatare,n,2,d
tatara,mfn,tatarARi,n,2,p
tatara,mfn,tatareRa,n,3,s
tatara,mfn,tatarAByAm,n,3,d
tatara,mfn,tatarEs,n,3,p
tatara,mfn,tatarasmE,n,4,s
tatara,mfn,tatarAByAm,n,4,d
tatara,mfn,tatareByas,n,4,p
tatara,mfn,tatarasmAt,n,5,s
tatara,mfn,tatarAByAm,n,5,d
tatara,mfn,tatareByas,n,5,p
tatara,mfn,tatarasya,n,6,s
tatara,mfn,tatarayos,n,6,d
tatara,mfn,tatarezAm,n,6,p
tatara,mfn,tataram,n,7,s
tatara,mfn,tatare,n,7,d
tatara,mfn,tatarARi,n,7,p
tatara,mfn,tataram,n,8,s
tatara,mfn,tatare,n,8,d
tatara,mfn,tatarARi,n,8,p
ekatara,mfn,ekataras,m,1,s
ekatara,mfn,ekatarO,m,1,d
ekatara,mfn,ekatare,m,1,p
ekatara,mfn,ekataram,m,2,s
ekatara,mfn,ekatarO,m,2,d
ekatara,mfn,ekatarAn,m,2,p
ekatara,mfn,ekatareRa,m,3,s
ekatara,mfn,ekatarAByAm,m,3,d
ekatara,mfn,ekatarEs,m,3,p
ekatara,mfn,ekatarasmE,m,4,s
ekatara,mfn,ekatarAByAm,m,4,d
ekatara,mfn,ekatareByas,m,4,p
ekatara,mfn,ekatarasmAt,m,5,s
ekatara,mfn,ekatarAByAm,m,5,d
ekatara,mfn,ekatareByas,m,5,p
ekatara,mfn,ekatarasya,m,6,s
ekatara,mfn,ekatarayos,m,6,d
ekatara,mfn,ekatarezAm,m,6,p
ekatara,mfn,ekatarasmin,m,7,s
ekatara,mfn,ekatarayos,m,7,d
ekatara,mfn,ekatarezu,m,7,p
ekatara,mfn,ekataras,m,8,s
ekatara,mfn,ekatarO,m,8,d
ekatara,mfn,ekatare,m,8,p
ekatara,mfn,ekatarA,f,1,s
ekatara,mfn,ekatare,f,1,d
ekatara,mfn,ekatarAs,f,1,p
ekatara,mfn,ekatarAm,f,2,s
ekatara,mfn,ekatare,f,2,d
ekatara,mfn,ekatarAs,f,2,p
ekatara,mfn,ekatarayA,f,3,s
ekatara,mfn,ekatarAByAm,f,3,d
ekatara,mfn,ekatarABis,f,3,p
ekatara,mfn,ekatarasyE,f,4,s
ekatara,mfn,ekatarAByAm,f,4,d
ekatara,mfn,ekatarAByas,f,4,p
ekatara,mfn,ekatarasyAs,f,5,s
ekatara,mfn,ekatarAByAm,f,5,d
ekatara,mfn,ekatarAByas,f,5,p
ekatara,mfn,ekatarasyAs,f,6,s
ekatara,mfn,ekatarayos,f,6,d
ekatara,mfn,ekatarAsAm,f,6,p
