L,betacode,index
142512,PEI=SMA,2
142871,FRU/NH,1
142871,FRU=NOS,2
144925,PA=XUS,1
144925,PH=XUS,2
145014,A)GKWN,1
145569,PUQ,1
145569,FUQ,2
145569,PUNQA/NOMAI,3
145569,PUQE/SQAI,4
145965,PUQMH/N,1
146567,D,1
147530,BREKEKEKE/C,1
147598,FAGEI=N,1
147598,FA%26GO/S,2
147598,FHGO/S,3
147764,*BAGAI=OS,1
148872,*BARU/GAZA,1
148896,FLE/GOS,1
149418,FHMI/,1
149418,FA/SKW,2
151217,FEU/GW,1
151434,FU/RW,1
151434,PORFU/RW,2
151456,FU/W,1
151456,E)/FUN,2
152494,FE/RW,1
152554,OI( *FLEGU/AI,1
153489,FRU/GW,1
153524,BRE/MW,1
153678,FLE/GW,1
153679,FLO/C,1
153710,FRA/THR,1
153771,O)-FRU/S,1
153874.40,E)-ME/,1
153874.40,ME/,2
154058,MAXE/OMAI,1
154607,MA/NNOS,1
154607,MO/NNOS,2
155187,MI/NQH,1
155288,MADA/W,1
155792,ME/QU,1
155792,ME/QH,2
156367,ME/SSOS,1
156367,ME/SOS,2
156367,ME/QIOS,3
156626,ME/NW,1
156626,ME/MONA,2
156781,ME/NOS,1
157236,*ME/NTWR,1
158148,SMA/RAGDOS,1
158195,H,1
158299,MARMAI/RW,1
158469,MORTO/S,1
158469,BROTO/S,2
158578,MORMU/RW,1
158647,ME/LAS,1
159151,ME/G-AS,1
159515,*MAA/GRAMMON,1
161686.05,MH/,1
161697,ME/TRON,1
161697,METRE/W,2
162253,MA/THR,1
162253,MH/THR,2
163895.10,MH/N,1
163895.10,MH/NH,2
164487,MI/SGW,1
164487,MI/GNUMI,2
164576,O)MIXEI=N,1
164607,MINU/W,1
165082,MU/SSW,1
165082,MU=KOS,2
165082,MUKTH/S,3
165759,*MAROU=NDAI,1
165888,MU/SXON,1
166550,MU=S,1
166607,BROTO/S,1
166607,MROTO/S,2
166956,L,1
167121,O)-MO/RGNUMI,1
167121,A)-ME/RGW,2
167121,A)-ME/LGW,3
167219,A)-MALD-U/NW,1
167296,BRADU/S,1
168106,MESOURA/NHMA,1
168976,O(/S,1
168976,H(/,2
168976,?,3
168998,H(=HPAR,1
169114,A(GNO/S,1
169114,A)/GOS,2
169114,A(/ZOMAI,3
169627.70,O(/TI,1
170258,ZHMI/A,1
170654,ZEIA/,1
171002,ZE/W,1
171346,W(S,1
171366,EI)NA/THR,1
171731,ZEU/GNUMI,1
171731,ZUGO/N,2
172012,U(S-MI/NH,1
172211,U(/MMES,1
172211,U(SMES,2
173050,A)-LE/CW,1
173050,A)RKE/W,2
173342,R(E/ZW,1
173342,R(EGEU/S,2
173975,E)/-REBOS,1
174928,H)RE/MA,1
174928,E)/RAMAI,2
174928,E)RATO/S,3
175925,LAQ,1
175925,LANQA/NW,2
177186,G,1
177947,R(IFH/,1
177975,LEI/PW,1
177975,LOIPO/S,2
178213,W)RU/OMAI,1
178244,LEUKO/S,1
178244,A)MFILU/KH,2
178446,LUGRO/S,1
178829,E)RUQRO/S,1
178829,E)/REUQOS,2
178916,LU/SSA,1
179993,E)REU/GEIN,1
179993,E)RUGH/,2
180080,A,1
180080,B,2
180080,G,3
180080,D,4
180080,E,5
180112,A,1
180112,B,2
180112,G,3
180112,D,4
180112,E,5
180802,E)-LAXU/S,1
181039,E)-LA/XISTOS,1
181338,O)-LOF-U/ROMAI,1
181359,LA/F-URON,1
181359,LAMB-A/NW,2
181488,LOBO/S,1
182192,*LARIKH,1
182337,E)REI/KW,1
182615,A)-LEI/FW,1
182615,LIPARO/S,2
182695,LEPTH/,1
182726,LEI/XW,1
182999,A)LW/PHC,1
183125,LU/W,1
183200,LE/WN,1
184521,A)E/CW,1
184521,AU)CA/NW,2
184615,E)P,1
184615,VEP,2
184615,E)/POS,3
184615,O)/Y,4
184615,O)/SSA,5
185410.10,E)/TOS,1
185410.10,VE/TOS,2
185579,W)QE/W,1
186417,E)ME/W,1
186417,VEME/W,2
186613,EU)=ROS,1
186668,*OU)RANO/S,1
186742,E)/LUTRON,1
186742,VELUTRON,2
186745,R(U/TWR,1
186745,VERUTWR,2
187539,O)/RTUC,1
187539,O)RTUGI/A,2
187981,E)E/RSAI,1
188394,E(KW/N,1
188394,FEKWN,2
188560,E)/AR,1
188560,FESAR,2
188675,Z,1
188974,W)=NOS,1
188974,FOS-NOS,2
188974,W)NH/,3
188974,W)NE/OMAI,4
188997,KENTE/W,1
188998,E(/NNUMI,1
188998,VES-NUMI,2
189238,O)/XOS,1
189238,VOXOS,2
189238,O)XE/OMAI,3
189436,A)/HMI,1
189436,VAHMI,2
190836,U(LO/BIOI,1
191408,OU)=RON,1
191408,OU)RE/W,2
191586,OU)RA/,1
192825,OI)WNO/S,1
192825,O)VIWNOS,2
193577.34,I,1
193577.34,A,2
193577.34,B,3
193577.34,G,4
193742,VI/KATI,1
193742,EI)/KOSI,2
194682,EI)/KW,1
195626,EI)=DON,1
195626,E)VIDON,2
195626,OI)=DA,3
195626,VOIDA,4
196460,H)I/QEOS,1
197768,*(/UFASIS,1
197768,*BI/PASIS,2
200376,OI)=KOS,1
200389,KAT',1
200389,E)COXH/N,2
201660,I)O/S,1
201660,VISOS,2
204114,LU/KOS,1
205556,I)TE/A,1
206448,*FA/SIS,1
210897,O)/PIS,1
210897,A)OSSHTH/R,2
211223,*ZAKASTH/NH,1
211402,SKW/R,1
211402,SKATO/S,2
211402,KO/PROS,3
211556,KO/GXH,1
211814,E(-KATO/N,1
211841.20,E(KATOMBAI=OS,1
211848,E(KATO/MBH,1
212073,L,1
212394,KO/TOS,1
212394,KOTE/W,2
212482,KAD,1
212482,KEKA/SMEQA,2
